isolate_id_orig,Isolate_ID(GL),Strain_Number,lineage,Host_genus,Host_species,Year,Country,State,County,Town,Host_Environment,Sample_Type,GPS Coordinates,lat,lon,List,Notes,Duplicate
7613-C2,PR-17-375,15939,EU1,Notholithocarpus,densiflorus,2017,USA,OR,Curry,,Forest,,,42.33001,-124.40851,CurryCo_List/GLCC_DB,,
7613-D9,PR-17-376,15942.1,EU1,Notholithocarpus,densiflorus,2017,USA,OR,Curry,,Forest,,,42.32917,-124.40677,CurryCo_List/GLCC_DB,,
7881-E7,PR-17-337,15950,EU1,Notholithocarpus,densiflorus,2017,USA,OR,Curry,,Forest,,,42.30758,-124.40366,CurryCo_List/GLCC_DB,,
7613-E7,PR-17-338,15951,EU1,Notholithocarpus,densiflorus,2017,USA,OR,Curry,,Forest,,,42.30854,-124.40346,CurryCo_List/GLCC_DB,,
7613-H9,PR-17-339,15952,EU1,Notholithocarpus,densiflorus,2017,USA,OR,Curry,,Forest,,,42.30905,-124.4038,CurryCo_List/GLCC_DB,,
7613-G9,PR-17-340,15953,EU1,Notholithocarpus,densiflorus,2017,USA,OR,Curry,,Forest,,,42.32642,-124.40691,CurryCo_List/GLCC_DB,,
7613-C10,PR-17-364,15958,EU1,Notholithocarpus,densiflorus,2017,USA,OR,Curry,,Forest,,,42.31972,-124.40417,CurryCo_List/GLCC_DB,,
7613-C9,PR-17-377,15965,EU1,Notholithocarpus,densiflorus,2017,USA,OR,Curry,,Forest,,,42.32747,-124.40766,CurryCo_List/GLCC_DB,,
7613-D7,PR-17-378,15966,EU1,Notholithocarpus,densiflorus,2017,USA,OR,Curry,,Forest,,,42.32708,-124.40683,CurryCo_List/GLCC_DB,,
7613-F9,PR-17-380,15976,EU1,Notholithocarpus,densiflorus,2017,USA,OR,Curry,,Forest,,,42.32252,-124.40235,CurryCo_List/GLCC_DB,,
7613-B10,PR-17-381,15978,EU1,Notholithocarpus,densiflorus,2017,USA,OR,Curry,,Forest,,,42.33063,-124.40646,CurryCo_List/GLCC_DB,,
7613-A3,PR-17-386,15979,EU1,Notholithocarpus,densiflorus,2017,USA,OR,Curry,,Forest,,,42.33202,-124.40817,CurryCo_List/GLCC_DB,,
7881-F9,PR-17-369,15983,EU1,Notholithocarpus,densiflorus,2017,USA,OR,Curry,,Forest,,,42.3205,-124.4045,CurryCo_List/GLCC_DB,,
7881-H9,PR-17-367,15984,EU1,Notholithocarpus,densiflorus,2017,USA,OR,Curry,,Forest,,,42.31017,-124.39842,CurryCo_List/GLCC_DB,,
7881-F7,PR-17-387,15986,EU1,Notholithocarpus,densiflorus,2017,USA,OR,Curry,,Forest,,,42.3337,-124.40857,CurryCo_List/GLCC_DB,,
7881-F5,PR-17-388,15987,EU1,Notholithocarpus,densiflorus,2017,USA,OR,Curry,,Forest,,,42.33406,-124.40667,CurryCo_List/GLCC_DB,,
7881-H6,PR-17-371,15988,EU1,Notholithocarpus,densiflorus,2017,USA,OR,Curry,,Forest,,,42.33043,-124.40566,CurryCo_List/GLCC_DB,,
7613-G11,PR-17-390,15992,EU1,Notholithocarpus,densiflorus,2017,USA,OR,Curry,,Forest,,,42.3359,-124.36069,CurryCo_List/GLCC_DB,,
7613-G12,PR-17-391,15993,EU1,Notholithocarpus,densiflorus,2017,USA,OR,Curry,,Forest,,,42.33583,-124.36071,CurryCo_List/GLCC_DB,,
7613-F8,PR-17-402,15995,EU1,Notholithocarpus,densiflorus,2017,USA,OR,Curry,,Forest,,,42.29449,-124.38777,CurryCo_List/GLCC_DB,,
7613-H12,PR-17-404,15997,EU1,Notholithocarpus,densiflorus,2017,USA,OR,Curry,,Forest,,,42.29917,-124.38767,CurryCo_List/GLCC_DB,,
7613-E8,PR-17-406,15999,EU1,Notholithocarpus,densiflorus,2017,USA,OR,Curry,,Forest,,,42.29848,-124.3869,CurryCo_List/GLCC_DB,,
7613-E10,PR-17-407,16017,EU1,Notholithocarpus,densiflorus,2017,USA,OR,Curry,,Forest,,,42.29697,-124.38154,CurryCo_List/GLCC_DB,,
7613-C12,PR-17-408,16018,EU1,Notholithocarpus,densiflorus,2017,USA,OR,Curry,,Forest,,,42.2954,-124.38299,CurryCo_List/GLCC_DB,,
7613-F10,PR-17-409,16030,EU1,Notholithocarpus,densiflorus,2017,USA,OR,Curry,,Forest,,,42.29557,-124.38747,CurryCo_List/GLCC_DB,,
7613-B6,PR-17-410,16031,EU1,Notholithocarpus,densiflorus,2017,USA,OR,Curry,,Forest,,,42.29632,-124.38646,CurryCo_List/GLCC_DB,,
7613-C6,PR-17-411,16034,EU1,Notholithocarpus,densiflorus,2017,USA,OR,Curry,,Forest,,,42.29174,-124.39071,CurryCo_List/GLCC_DB,,
7613-D12,PR-17-428,16063,EU1,Notholithocarpus,densiflorus,2017,USA,OR,Curry,,Forest,,,42.32949,-124.40826,CurryCo_List/GLCC_DB,,
7613-E12,PR-17-429,16066,EU1,Notholithocarpus,densiflorus,2017,USA,OR,Curry,,Forest,,,42.32659,-124.40571,CurryCo_List/GLCC_DB,,
7613-H11,,16203,EU1,Notholithocarpus,densiflorus,2018,,,,,,,,42.33438817,-124.4058502,CurryCo_List,,
7613-D6,PR-18-047,16226,EU1,Notholithocarpus,densiflorus,2018,USA,OR,Curry,,Forest,,,42.29683,-124.39667,CurryCo_List/GLCC_DB,,
7881-H7,PR-18-039,16227,EU1,Notholithocarpus,densiflorus,2018,USA,OR,Curry,,Forest,,,42.29697,-124.39788,CurryCo_List/GLCC_DB,,
7881-F8,PR-18-040,16228,EU1,Notholithocarpus,densiflorus,2018,USA,OR,Curry,,Forest,,,42.29653,-124.39838,CurryCo_List/GLCC_DB,,
7881-B11,PR-18-041,16229,EU1,Notholithocarpus,densiflorus,2018,USA,OR,Curry,,Forest,,,42.2961,-124.40145,CurryCo_List/GLCC_DB,,
7881-E8,PR-18-042,16230,EU1,Notholithocarpus,densiflorus,2018,USA,OR,Curry,,Forest,,,42.29413487,-124.4015792,CurryCo_List/GLCC_DB,,
7881-C11,PR-18-043,16231,EU1,Notholithocarpus,densiflorus,2018,USA,OR,Curry,,Forest,,,42.29628122,-124.4003031,CurryCo_List/GLCC_DB,,
7613-H1,PR-18-044,16232,EU1,Notholithocarpus,densiflorus,2018,USA,OR,Curry,,Forest,,,42.2944908,-124.401206,CurryCo_List/GLCC_DB,,
7881-D11,PR-18-048,16233,EU1,Notholithocarpus,densiflorus,2018,USA,OR,Curry,,Forest,,,42.29741208,-124.4019676,CurryCo_List/GLCC_DB,,
7881-C9,PR-18-054,16245,EU1,Notholithocarpus,densiflorus,2018,USA,OR,Curry,,Forest,,,42.33263479,-124.3836728,CurryCo_List/GLCC_DB,,
7881-A9,PR-18-055,16246,EU1,Notholithocarpus,densiflorus,2018,USA,OR,Curry,,Forest,,,42.33257872,-124.3837086,CurryCo_List/GLCC_DB,,
7613-B8,PR-18-135,16271,EU1,Notholithocarpus,densiflorus,2018,USA,OR,Curry,,Forest,,,42.29578,-124.39613,CurryCo_List/GLCC_DB,,
7613-A8,PR-18-174,16285,EU1,Notholithocarpus,densiflorus,2018,USA,OR,Curry,,Forest,,,42.29804,-124.40181,CurryCo_List/GLCC_DB,,
7881-H3,PR-18-176,16287,EU1,Notholithocarpus,densiflorus,2018,USA,OR,Curry,,Forest,,,42.2983834,-124.4033067,CurryCo_List/GLCC_DB,,
7613-G7,PR-18-185,16292,EU1,Notholithocarpus,densiflorus,2018,USA,OR,Curry,,Forest,,,42.33272934,-124.4028586,CurryCo_List/GLCC_DB,,
7881-E11,PR-18-193,16296,EU1,Notholithocarpus,densiflorus,2018,USA,OR,Curry,,Forest,,,42.32847728,-124.4111329,CurryCo_List/GLCC_DB,,
7881-F4,PR-18-197,16298,EU1,Notholithocarpus,densiflorus,2018,USA,OR,Curry,,Forest,,,42.33237445,-124.406187,CurryCo_List/GLCC_DB,,
7881-B7,PR-18-266,16316,EU1,Notholithocarpus,densiflorus,2018,USA,OR,Curry,,Forest,,,42.33631327,-124.3579418,CurryCo_List/GLCC_DB,,
7881-D5,PR-18-143,16379,EU1,Notholithocarpus,densiflorus,2018,USA,OR,Curry,,Forest,,,42.30115764,-124.3818502,CurryCo_List/GLCC_DB,,
7613-F7,PR-18-144,16380,EU1,Notholithocarpus,densiflorus,2018,USA,OR,Curry,,Forest,,,42.30108355,-124.3812713,CurryCo_List/GLCC_DB,,
7613-B4,PR-18-149,16381,EU1,Notholithocarpus,densiflorus,2018,USA,OR,Curry,,Forest,,,42.3009936,-124.3819455,CurryCo_List/GLCC_DB,,
7613-A9,PR-18-166,16408,EU1,Notholithocarpus,densiflorus,2018,USA,OR,Curry,,Forest,,,42.33158974,-124.3854524,CurryCo_List/GLCC_DB,,
